15	886152440617	B12104002 	GLENWOOD	01	BERRICS MENS	RED 	DEEP RED	XX	XL  	54	0			
15	886152440624	B12104002 	GLENWOOD	01	BERRICS MENS	RED 	DEEP RED	XX	XXL 	54	0			
15	886152440433	B12104004 	FLINTRIDGE	01	BERRICS MENS	GRY 	DODGER GREY	XX	S   	52	0			
15	886152440440	B12104004 	FLINTRIDGE	01	BERRICS MENS	GRY 	DODGER GREY	XX	M   	52	0			
15	886152440457	B12104004 	FLINTRIDGE	01	BERRICS MENS	GRY 	DODGER GREY	XX	L   	52	0			
15	886152440464	B12104004 	FLINTRIDGE	01	BERRICS MENS	GRY 	DODGER GREY	XX	XL  	52	0			
15	886152440471	B12104004 	FLINTRIDGE	01	BERRICS MENS	GRY 	DODGER GREY	XX	XXL 	52	0			
15	886152440488	B12104004 	FLINTRIDGE	01	BERRICS MENS	NVY 	NAVY	XX	S   	52	0			
15	886152440495	B12104004 	FLINTRIDGE	01	BERRICS MENS	NVY 	NAVY	XX	M   	52	0			
15	886152440501	B12104004 	FLINTRIDGE	01	BERRICS MENS	NVY 	NAVY	XX	L   	52	0			
15	886152440518	B12104004 	FLINTRIDGE	01	BERRICS MENS	NVY 	NAVY	XX	XL  	52	0			
15	886152440525	B12104004 	FLINTRIDGE	01	BERRICS MENS	NVY 	NAVY	XX	XXL 	52	0			
15	886152427403	B12109002 	HAYWORTH	01	BERRICS MENS	BLK 	BLACK	XX	26  	64	0			
15	886152427410	B12109002 	HAYWORTH	01	BERRICS MENS	BLK 	BLACK	XX	28  	64	0			
15	886152427427	B12109002 	HAYWORTH	01	BERRICS MENS	BLK 	BLACK	XX	30  	64	0			
15	886152427434	B12109002 	HAYWORTH	01	BERRICS MENS	BLK 	BLACK	XX	32  	64	0			
15	886152427441	B12109002 	HAYWORTH	01	BERRICS MENS	BLK 	BLACK	XX	34  	64	0			
15	886152427458	B12109002 	HAYWORTH	01	BERRICS MENS	BLK 	BLACK	XX	36  	64	0			
15	886152427465	B12109002 	HAYWORTH	01	BERRICS MENS	BLK 	BLACK	XX	38  	64	0			
15	886152427472	B12109002 	HAYWORTH	01	BERRICS MENS	BLK 	BLACK	XX	40  	64	0			
15	886152427489	B12109002 	HAYWORTH	01	BERRICS MENS	OLV 	OLIVE	XX	26  	64	0			
15	886152427496	B12109002 	HAYWORTH	01	BERRICS MENS	OLV 	OLIVE	XX	28  	64	0			
15	886152427502	B12109002 	HAYWORTH	01	BERRICS MENS	OLV 	OLIVE	XX	30  	64	0			
15	886152427519	B12109002 	HAYWORTH	01	BERRICS MENS	OLV 	OLIVE	XX	32  	64	0			
15	886152427526	B12109002 	HAYWORTH	01	BERRICS MENS	OLV 	OLIVE	XX	34  	64	0			
