15	886152440853	B12196001 	ORG 	XX	ONE 	20	AT ONCE	
15	886152440884	B12196002 	BLK 	XX	S/M 	20	AT ONCE	
15	886152440907	B12196002 	BLK 	XX	L/XL	20	AT ONCE	
15	886152440945	B12196002 	HGR 	XX	S/M 	20	AT ONCE	
15	886152440969	B12196002 	HGR 	XX	L/XL	20	AT ONCE	
15	886152441003	B12196002 	NVY 	XX	S/M 	20	AT ONCE	
15	886152441027	B12196002 	NVY 	XX	L/XL	20	AT ONCE	
15	886152447647	B12196005 	BLK 	XX	ONE 	20	AT ONCE	
15	886152447654	B12196005 	RED 	XX	ONE 	20	AT ONCE	
15	886152441164	B12196006 	BLK 	XX	ONE 	20	AT ONCE	
15	886152441171	B12196006 	CAM 	XX	ONE 	20	AT ONCE	
15	886152441188	B12196006 	RED 	XX	ONE 	20	AT ONCE	
15	886152441218	B12196007 	BLK 	XX	S/M 	20	AT ONCE	
15	886152441232	B12196007 	BLK 	XX	L/XL	20	AT ONCE	
15	886152441270	B12196007 	NVY 	XX	S/M 	20	AT ONCE	
15	886152441294	B12196007 	NVY 	XX	L/XL	20	AT ONCE	
15	886152513601	B12196008 	BLK 	XX	ONE 	20	AT ONCE	
15	886152513618	B12196008 	NVY 	XX	ONE 	20	AT ONCE	
15	886152628381	B121S18001	BLK 	XX	S   	20	AT ONCE	
15	886152628398	B121S18001	BLK 	XX	M   	20	AT ONCE	
15	886152628404	B121S18001	BLK 	XX	L   	20	AT ONCE	
15	886152628411	B121S18001	BLK 	XX	XL  	20	AT ONCE	
15	886152569622	B121S18001	WHT 	XX	M   	7	AT ONCE	
15	886152569646	B121S18001	WHT 	XX	XL  	5	AT ONCE	
15	886152627193	B121S18002	HGR 	XX	M   	15	AT ONCE	
15	886152627209	B121S18002	HGR 	XX	L   	14	AT ONCE	
15	886152627278	B121S18002	WHT 	XX	M   	15	AT ONCE	
15	886152627285	B121S18002	WHT 	XX	L   	13	AT ONCE	
15	886152627292	B121S18002	WHT 	XX	XL  	6	AT ONCE	
15	886152627353	B121S18003	BLK 	XX	M   	6	AT ONCE	
15	886152569783	B121S18003	GRY 	XX	M   	20	AT ONCE	
15	886152569806	B121S18003	GRY 	XX	XL  	8	AT ONCE	
15	886152627667	B121S18005	BLK 	XX	S   	20	AT ONCE	
15	886152569936	B121S18005	WHT 	XX	S   	8	AT ONCE	
15	886152569943	B121S18005	WHT 	XX	M   	15	AT ONCE	
15	886152570017	B121S18006	BLK 	XX	S   	12	AT ONCE	
15	886152570024	B121S18006	BLK 	XX	M   	20	AT ONCE	
15	886152570031	B121S18006	BLK 	XX	L   	12	AT ONCE	
15	886152627759	B121S18006	WHT 	XX	M   	14	AT ONCE	
15	886152570079	B121S18007	ARM 	XX	S   	20	AT ONCE	
15	886152570086	B121S18007	ARM 	XX	M   	20	AT ONCE	
15	886152570093	B121S18007	ARM 	XX	L   	20	AT ONCE	
15	886152570109	B121S18007	ARM 	XX	XL  	10	AT ONCE	
15	886152570116	B121S18007	ARM 	XX	XXL 	17	AT ONCE	
15	886152627803	B121S18007	BLK 	XX	S   	20	AT ONCE	
15	886152627810	B121S18007	BLK 	XX	M   	20	AT ONCE	
15	886152627827	B121S18007	BLK 	XX	L   	20	AT ONCE	
15	886152627834	B121S18007	BLK 	XX	XL  	20	AT ONCE	
15	886152627841	B121S18007	BLK 	XX	XXL 	6	AT ONCE	
15	886152627858	B121S18007	RED 	XX	S   	13	AT ONCE	
15	886152627865	B121S18007	RED 	XX	M   	20	AT ONCE	
15	886152627872	B121S18007	RED 	XX	L   	20	AT ONCE	
15	886152627889	B121S18007	RED 	XX	XL  	20	AT ONCE	
15	886152627902	B121S18007	WHT 	XX	S   	20	AT ONCE	
15	886152627919	B121S18007	WHT 	XX	M   	20	AT ONCE	
15	886152627926	B121S18007	WHT 	XX	L   	20	AT ONCE	
15	886152627933	B121S18007	WHT 	XX	XL  	20	AT ONCE	
15	886152627940	B121S18007	WHT 	XX	XXL 	6	AT ONCE	
15	886152732927	B121S18009	BLK 	XX	M   	6	AT ONCE	
15	886152628008	B121S18009	RED 	XX	S   	20	AT ONCE	
15	886152628015	B121S18009	RED 	XX	M   	20	AT ONCE	
15	886152628022	B121S18009	RED 	XX	L   	20	AT ONCE	
15	886152628039	B121S18009	RED 	XX	XL  	20	AT ONCE	
15	886152570185	B121S18009	WHT 	XX	M   	20	AT ONCE	
15	886152570192	B121S18009	WHT 	XX	L   	16	AT ONCE	
15	886152570208	B121S18009	WHT 	XX	XL  	8	AT ONCE	
15	886152628107	B121S18010	WHT 	XX	S   	11	AT ONCE	
15	886152628114	B121S18010	WHT 	XX	M   	20	AT ONCE	
15	886152628121	B121S18010	WHT 	XX	L   	20	AT ONCE	
15	886152628138	B121S18010	WHT 	XX	XL  	11	AT ONCE	
15	886152570291	B121S18011	BLK 	XX	M   	10	AT ONCE	
15	886152570307	B121S18011	BLK 	XX	L   	13	AT ONCE	
15	886152570314	B121S18011	BLK 	XX	XL  	10	AT ONCE	
15	886152628220	B121S18012	BLK 	XX	M   	13	AT ONCE	
15	886152628237	B121S18012	BLK 	XX	L   	12	AT ONCE	
15	886152570383	B121S18013	HGR 	XX	S   	17	AT ONCE	
15	886152570390	B121S18013	HGR 	XX	M   	20	AT ONCE	
15	886152570406	B121S18013	HGR 	XX	L   	20	AT ONCE	
15	886152570413	B121S18013	HGR 	XX	XL  	15	AT ONCE	
15	886152570444	B121S18014	HGR 	XX	M   	18	AT ONCE	
15	886152570451	B121S18014	HGR 	XX	L   	20	AT ONCE	
15	886152570468	B121S18014	HGR 	XX	XL  	16	AT ONCE	
15	886152628268	B121S18015	BLK 	XX	S   	20	AT ONCE	
15	886152628275	B121S18015	BLK 	XX	M   	20	AT ONCE	
15	886152628282	B121S18015	BLK 	XX	L   	20	AT ONCE	
15	886152628299	B121S18015	BLK 	XX	XL  	20	AT ONCE	
15	886152628312	B121S18015	CHA 	XX	S   	7	AT ONCE	
15	886152628329	B121S18015	CHA 	XX	M   	19	AT ONCE	
15	886152570499	B121S18015	NVY 	XX	M   	20	AT ONCE	
15	886152570505	B121S18015	NVY 	XX	L   	14	AT ONCE	
15	886152570512	B121S18015	NVY 	XX	XL  	9	AT ONCE	
15	886152731296	B122S18002	BLK 	XX	M   	9	AT ONCE	
15	886152731302	B122S18002	BLK 	XX	L   	9	AT ONCE	
15	886152731333	B122S18002	RED 	XX	M   	5	AT ONCE	
15	886152731371	B122S18002	WHT 	XX	M   	8	AT ONCE	
15	886152731388	B122S18002	WHT 	XX	L   	5	AT ONCE	
15	886152731531	B122S18004	RED 	XX	M   	7	AT ONCE	
15	886152731548	B122S18004	RED 	XX	L   	8	AT ONCE	
15	886152731654	B122S18005	RED 	XX	M   	9	AT ONCE	
15	886152731661	B122S18005	RED 	XX	L   	6	AT ONCE	
15	886152134851	B211S18001	BLK 	XX	S   	20	AT ONCE	
15	886152134868	B211S18001	BLK 	XX	M   	20	AT ONCE	
15	886152134875	B211S18001	BLK 	XX	L   	20	AT ONCE	
15	886152134882	B211S18001	BLK 	XX	XL  	20	AT ONCE	
15	886152134899	B211S18001	BLK 	XX	XXL 	5	AT ONCE	
15	886152834126	B211S18001	COF 	XX	S   	19	AT ONCE	
15	886152834133	B211S18001	COF 	XX	M   	20	AT ONCE	
15	886152834140	B211S18001	COF 	XX	L   	20	AT ONCE	
15	886152834157	B211S18001	COF 	XX	XL  	15	AT ONCE	
15	886152834164	B211S18001	COF 	XX	XXL 	7	AT ONCE	
15	886152134912	B211S18001	HGR 	XX	M   	19	AT ONCE	
15	886152134936	B211S18001	HGR 	XX	XL  	8	AT ONCE	
15	886152134967	B211S18001	WHT 	XX	M   	20	AT ONCE	
15	886152134974	B211S18001	WHT 	XX	L   	20	AT ONCE	
15	886152134981	B211S18001	WHT 	XX	XL  	20	AT ONCE	
15	886152134998	B211S18001	WHT 	XX	XXL 	20	AT ONCE	
15	886152135155	B211S18003	HGR 	XX	S   	20	AT ONCE	
15	886152135162	B211S18003	HGR 	XX	M   	20	AT ONCE	
15	886152135179	B211S18003	HGR 	XX	L   	20	AT ONCE	
15	886152135186	B211S18003	HGR 	XX	XL  	20	AT ONCE	
15	886152135193	B211S18003	HGR 	XX	XXL 	6	AT ONCE	
15	886152135209	B211S18003	RED 	XX	S   	20	AT ONCE	
15	886152135216	B211S18003	RED 	XX	M   	20	AT ONCE	
15	886152135223	B211S18003	RED 	XX	L   	20	AT ONCE	
15	886152135230	B211S18003	RED 	XX	XL  	17	AT ONCE	
15	886152135247	B211S18003	RED 	XX	XXL 	5	AT ONCE	
15	886152135254	B211S18003	WHT 	XX	S   	20	AT ONCE	
15	886152135261	B211S18003	WHT 	XX	M   	20	AT ONCE	
15	886152135278	B211S18003	WHT 	XX	L   	20	AT ONCE	
15	886152135285	B211S18003	WHT 	XX	XL  	20	AT ONCE	
15	886152135292	B211S18003	WHT 	XX	XXL 	7	AT ONCE	
15	886152135322	B211S18004	BLK 	XX	L   	10	AT ONCE	
15	886152135339	B211S18004	BLK 	XX	XL  	10	AT ONCE	
15	886152135360	B211S18004	HGR 	XX	M   	14	AT ONCE	
15	886152135377	B211S18004	HGR 	XX	L   	20	AT ONCE	
15	886152135384	B211S18004	HGR 	XX	XL  	20	AT ONCE	
